1	10.2	1220	76.2	4.76
2	13.1	1570	76.2	6.35	
3	15.7	1900	76.2	7.94
4	18	2190	76.2	9.35
5	18.8	2270	88.9	7.94
6	21.8	2640	88.9	9.53
7	25.6	3080	102	9.53
8	29.4	3540	114	9.53
9	32	3880	102	12.7
10	33.2	3990	127	9.53
11	37.1	4480	114	12.7
12	40.8	4890	152	9.53
13	42.1	5080	127	12.7
14	52.2	6280	152	12.7
15	62.6	7550	152	15.9
16	72.5	8710	203	12.7
17	75.3	9030	178	15.9
18	88	10600	203	15.9
19	101	12100	229	15.9
20	113	13500	254	15.9
21	133	15500	254	19.1
22	164	19500	305	19.1
23	223	26600	356	22.2
