1	28.3	3590	310		102		5.97	8.89	5.72	46.2	54.1	
2	32.7	4180	312		102		6.60	10.8	4.74	41.8	64.9
3	52.0	6650	318		167		7.62	13.2	6.31	36.2	119
4	74.0	9420	310		205		9.40	16.3	6.31	26.8	163
5	52.0	6650	450		152		7.62	10.8	7.06	53.5	212
6	67.0	8580	409		179		8.76	14.4	6.23	41.1	244
7	60.0	7610	455		153		8.00	13.3	5.73	50.9	255
8	75.0	9480	414		180		9.65	16.0	5.61	37.4	274
9	68.0	8710	460		154		9.14	15.4	5.01	44.6	296
10	85.0	10800	417		181		10.9	18.2	4.98	33.0	316
11	74.0	9480	457		191		9.02	14.5	6.57	45.2	333
12	66.0	8390	526		165		8.89	11.4	7.22	53.6	351
13	74.0	9480	528		166		9.65	13.6	6.10	49.4	410
14	85.0	10800	536		167		10.3	16.5	5.04	46.3	487
15	82.0	10500	599		174		10	12.8	6.94	54.6	562
16	101	12900	536		210		10.9	17.4	6.04	43.6	762
17	92	11700	602		179		10.9	15	5.97	50.1	645
18	113	14500	607		228		11.2	17.3	6.61	49	874
19	125	15900	612		229		11.9	19.6	5.86	45.9	986
20	140	17800	683		254		12.4	18.9	6.7	49.5	1360
21	152	19400	688		254		13.1	21.1	6.03	47.1	1510
22	170	21700	693		257		14.5	23.6	5.41	42.5	1700
23	161	20500	757		267		13.8	19.3	6.89	49.6	1860
24	173	22100	762		267		14.4	21.6	6.17	47.8	2050
